timestamp,api,access_token,ip_address,cookie,invoke_path,http_method
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:45:39,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
0:57:43,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
1:02:47,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
1:14:56,news,72c48206-a51e-3c6b-88dd-4910beac69a9,192.52.215.43,JSESSIONID=xg89xqe3x5eytlfxzh9htiv5g9chg88,news/1/getnews/,GET
